proposal_type	n_mutations	mean MI value
random	800	0.20262158262525876
random	820	0.20226471102702284
random	840	0.20137874529325403
random	860	0.20075846890869087
random	880	0.20050318524296717
random	900	0.19952540679258027
random	920	0.19802517450509088
random	940	0.197962501150259
random	960	0.19727967460287915
random	980	0.19781722230100135
random	1000	0.1973677421716219
random	1020	0.19616854623922142
random	1040	0.19604880577484576
random	1060	0.19557945562587653
random	1080	0.1960837811229067
random	1100	0.19647747205743019
random	1120	0.19742546572510436
random	1140	0.19690456982871504
random	1160	0.1960436171366287
random	1180	0.1962642049081486
random	1200	0.1956353066684573
random	1220	0.1941543187572617
random	1240	0.19440671722168218
random	1260	0.19457995450728607
random	1280	0.19423005046988145
random	1300	0.19459882818228613
random	1320	0.1944483939371933
random	1340	0.19481843012648242
random	1360	0.1941114484939037
random	1380	0.19395074931023018
random	1400	0.19404784050068402
random	1420	0.19361280269265965
random	1440	0.1927736990408233
random	1460	0.19293891147211722
random	1480	0.1925632575959985
random	1500	0.19243902960813467
random	1520	0.1923921290101293
random	1540	0.1936257390418439
random	1560	0.19277650552122316
random	1580	0.1912248040276252
random	1600	0.1916635037137913
random	1620	0.19162375359551034
random	1640	0.19228377951044515
random	1660	0.1926826067457444
random	1680	0.19260471772985985
random	1700	0.19315482637890335
random	1720	0.19274406316958334
random	1740	0.1932223213090209
random	1760	0.1926821654763872
random	1780	0.1920065029631015
random	1800	0.1919768106220432
random	1820	0.19166218328190185
random	1840	0.1913682335186095
random	1860	0.1920216204461863
random	1880	0.1914474190080788
random	1900	0.19183226006538429
random	1920	0.1909464745096356
random	1940	0.19136771694736515
random	1960	0.19283653492778213
random	1980	0.19271059062268578
random	2000	0.19196900322289404
