proposal_type	n_mutations	mean MI value	sim_ind
msa_prob_dist	500	0.19890136352632976	3
msa_prob_dist	520	0.19795624672760723	3
msa_prob_dist	540	0.19818906841718884	3
msa_prob_dist	560	0.19899321206498874	3
msa_prob_dist	580	0.19935889835116827	3
msa_prob_dist	600	0.19821912905157776	3
msa_prob_dist	620	0.196807814343476	3
msa_prob_dist	640	0.1967148502682628	3
msa_prob_dist	660	0.19721417866396454	3
msa_prob_dist	680	0.19625708831525895	3
msa_prob_dist	700	0.19580456913815275	3
msa_prob_dist	720	0.19529546809362597	3
msa_prob_dist	740	0.19492055166520908	3
msa_prob_dist	760	0.19475378946384356	3
msa_prob_dist	780	0.19528170737942768	3
msa_prob_dist	800	0.19616037516994167	3
msa_prob_dist	820	0.19537699255601776	3
msa_prob_dist	840	0.1956248770667643	3
msa_prob_dist	860	0.1941235177841526	3
msa_prob_dist	880	0.19520393122908802	3
msa_prob_dist	900	0.1956895891811471	3
msa_prob_dist	920	0.1951373730536742	3
msa_prob_dist	940	0.19750615867505136	3
msa_prob_dist	960	0.19675096237223627	3
msa_prob_dist	980	0.1965149178541374	3
msa_prob_dist	1000	0.1957700329286426	3
random	20	0.36902602153885977	3
random	40	0.33640806284658137	3
random	60	0.3133521190177621	3
random	80	0.29811555604780615	3
random	100	0.28392111538744036	3
random	120	0.2748282204219442	3
random	140	0.26809975241696066	3
random	160	0.2619754072757944	3
random	180	0.2570916595054903	3
random	200	0.2514226497859625	3
random	220	0.2470747809858584	3
random	240	0.2438563725399825	3
random	260	0.24142076083871572	3
random	280	0.23949475647790996	3
random	300	0.2384190441341703	3
random	320	0.23761287366719056	3
random	340	0.2354940758645059	3
random	360	0.23409568129570962	3
random	380	0.23091015943588827	3
random	400	0.22938197101727434	3
random	420	0.2290416227765946	3
random	440	0.22744328288060914	3
random	460	0.22632371933023532	3
random	480	0.22622472387614653	3
random	500	0.2245586029744815	3
random	520	0.22361649970056918	3
random	540	0.22282741491950714	3
random	560	0.2217124638483734	3
random	580	0.21988818883687114	3
random	600	0.2205717590150621	3
random	620	0.21778478297954176	3
random	640	0.217630647677039	3
random	660	0.21718087000722494	3
random	680	0.2171031165450958	3
random	700	0.21668796111958685	3
random	720	0.21608778400759462	3
random	740	0.21509749808815032	3
random	760	0.21460243234767318	3
random	780	0.21307776212173526	3
random	800	0.2125806549326712	3
random	820	0.2123433586366661	3
random	840	0.21100773147226973	3
random	860	0.21002386336918244	3
random	880	0.20941774222970544	3
