sequence_name	n_mutations	proposal_type	hmmer_seq_score
seq0	5400	msa_prob_dist	-1.5
seq3	5400	msa_prob_dist	-2.5
seq7	5500	msa_prob_dist	155.4
seq5	5500	msa_prob_dist	154.1
seq2	5500	msa_prob_dist	147.2
seq8	5500	msa_prob_dist	144.0
seq4	5500	msa_prob_dist	142.6
seq9	5500	msa_prob_dist	130.7
seq6	5500	msa_prob_dist	129.4
seq1	5500	msa_prob_dist	99.5
seq0	5500	msa_prob_dist	-0.0
seq7	5600	msa_prob_dist	150.1
seq2	5600	msa_prob_dist	148.3
seq4	5600	msa_prob_dist	146.7
seq8	5600	msa_prob_dist	138.9
seq5	5600	msa_prob_dist	136.2
seq6	5600	msa_prob_dist	130.0
seq9	5600	msa_prob_dist	129.8
seq1	5600	msa_prob_dist	101.6
seq0	5600	msa_prob_dist	-1.3
seq3	5600	msa_prob_dist	-2.6
seq4	5700	msa_prob_dist	159.4
seq7	5700	msa_prob_dist	147.9
seq6	5700	msa_prob_dist	146.7
seq8	5700	msa_prob_dist	143.3
seq2	5700	msa_prob_dist	141.1
seq9	5700	msa_prob_dist	129.3
seq5	5700	msa_prob_dist	125.8
seq1	5700	msa_prob_dist	109.2
seq0	5700	msa_prob_dist	0.9
seq3	5700	msa_prob_dist	-2.6
seq4	5800	msa_prob_dist	163.7
seq8	5800	msa_prob_dist	149.4
seq7	5800	msa_prob_dist	145.2
seq2	5800	msa_prob_dist	139.0
seq6	5800	msa_prob_dist	137.2
seq5	5800	msa_prob_dist	132.9
seq9	5800	msa_prob_dist	123.3
seq1	5800	msa_prob_dist	101.9
seq0	5800	msa_prob_dist	-1.4
seq8	5900	msa_prob_dist	148.9
seq4	5900	msa_prob_dist	145.8
seq6	5900	msa_prob_dist	142.1
seq2	5900	msa_prob_dist	140.6
seq7	5900	msa_prob_dist	136.7
seq5	5900	msa_prob_dist	126.3
seq1	5900	msa_prob_dist	110.6
seq9	5900	msa_prob_dist	109.3
seq0	5900	msa_prob_dist	1.0
seq3	5900	msa_prob_dist	-3.4
seq2	6000	msa_prob_dist	150.3
seq8	6000	msa_prob_dist	146.8
seq5	6000	msa_prob_dist	143.0
seq4	6000	msa_prob_dist	140.4
seq7	6000	msa_prob_dist	139.1
seq6	6000	msa_prob_dist	130.9
seq9	6000	msa_prob_dist	106.2
seq1	6000	msa_prob_dist	99.9
seq0	6000	msa_prob_dist	-0.2
seq2	6100	msa_prob_dist	161.2
seq8	6100	msa_prob_dist	159.0
seq7	6100	msa_prob_dist	147.9
seq5	6100	msa_prob_dist	141.0
seq4	6100	msa_prob_dist	137.6
seq6	6100	msa_prob_dist	127.4
seq9	6100	msa_prob_dist	117.7
seq1	6100	msa_prob_dist	116.4
seq0	6100	msa_prob_dist	-0.7
seq8	6200	msa_prob_dist	154.7
seq2	6200	msa_prob_dist	152.2
seq5	6200	msa_prob_dist	146.2
seq7	6200	msa_prob_dist	139.1
seq6	6200	msa_prob_dist	134.8
seq4	6200	msa_prob_dist	130.6
seq9	6200	msa_prob_dist	121.5
seq1	6200	msa_prob_dist	107.7
seq0	6200	msa_prob_dist	1.4
seq6	6300	msa_prob_dist	156.5
seq5	6300	msa_prob_dist	153.1
seq2	6300	msa_prob_dist	152.4
seq8	6300	msa_prob_dist	147.3
seq4	6300	msa_prob_dist	145.8
seq7	6300	msa_prob_dist	142.5
seq9	6300	msa_prob_dist	123.0
seq1	6300	msa_prob_dist	112.5
seq0	6300	msa_prob_dist	-0.4
seq5	6400	msa_prob_dist	154.7
seq6	6400	msa_prob_dist	153.6
seq2	6400	msa_prob_dist	146.6
seq4	6400	msa_prob_dist	143.0
seq8	6400	msa_prob_dist	138.1
seq9	6400	msa_prob_dist	132.9
seq7	6400	msa_prob_dist	127.2
seq1	6400	msa_prob_dist	112.9
seq0	6400	msa_prob_dist	2.9
seq6	6500	msa_prob_dist	150.4
seq4	6500	msa_prob_dist	149.1
seq5	6500	msa_prob_dist	146.5
seq8	6500	msa_prob_dist	144.3
seq2	6500	msa_prob_dist	139.8
seq9	6500	msa_prob_dist	129.1
seq7	6500	msa_prob_dist	124.8
seq1	6500	msa_prob_dist	106.0
seq0	6500	msa_prob_dist	1.2
seq4	6600	msa_prob_dist	150.6
seq5	6600	msa_prob_dist	148.6
seq6	6600	msa_prob_dist	142.8
seq2	6600	msa_prob_dist	139.5
seq8	6600	msa_prob_dist	137.1
seq7	6600	msa_prob_dist	115.0
seq1	6600	msa_prob_dist	111.8
seq9	6600	msa_prob_dist	108.2
seq0	6600	msa_prob_dist	0.8
seq6	6700	msa_prob_dist	155.4
seq5	6700	msa_prob_dist	155.3
seq4	6700	msa_prob_dist	148.1
seq2	6700	msa_prob_dist	145.0
seq8	6700	msa_prob_dist	137.1
seq7	6700	msa_prob_dist	126.8
seq9	6700	msa_prob_dist	119.9
seq1	6700	msa_prob_dist	108.1
seq0	6700	msa_prob_dist	0.9
seq6	6800	msa_prob_dist	150.3
seq5	6800	msa_prob_dist	146.1
seq8	6800	msa_prob_dist	138.5
seq7	6800	msa_prob_dist	138.3
seq4	6800	msa_prob_dist	137.4
seq2	6800	msa_prob_dist	130.9
seq9	6800	msa_prob_dist	115.3
seq1	6800	msa_prob_dist	112.7
seq0	6800	msa_prob_dist	1.5
seq6	6900	msa_prob_dist	157.1
seq5	6900	msa_prob_dist	153.1
seq4	6900	msa_prob_dist	146.0
seq7	6900	msa_prob_dist	144.6
seq2	6900	msa_prob_dist	143.6
seq8	6900	msa_prob_dist	136.4
seq9	6900	msa_prob_dist	108.5
seq1	6900	msa_prob_dist	104.0
seq0	6900	msa_prob_dist	0.1
seq2	7000	msa_prob_dist	156.6
seq5	7000	msa_prob_dist	152.7
seq6	7000	msa_prob_dist	145.8
seq4	7000	msa_prob_dist	144.4
seq8	7000	msa_prob_dist	140.8
seq7	7000	msa_prob_dist	138.4
seq9	7000	msa_prob_dist	119.0
seq1	7000	msa_prob_dist	116.6
seq0	7000	msa_prob_dist	0.0
seq2	7100	msa_prob_dist	159.9
seq5	7100	msa_prob_dist	155.6
seq6	7100	msa_prob_dist	148.6
seq8	7100	msa_prob_dist	146.0
seq4	7100	msa_prob_dist	141.4
seq7	7100	msa_prob_dist	140.7
seq9	7100	msa_prob_dist	112.9
seq1	7100	msa_prob_dist	110.3
seq0	7100	msa_prob_dist	-1.0
seq2	7200	msa_prob_dist	154.2
seq8	7200	msa_prob_dist	152.6
seq5	7200	msa_prob_dist	151.5
seq6	7200	msa_prob_dist	149.6
seq7	7200	msa_prob_dist	148.5
seq4	7200	msa_prob_dist	129.0
seq9	7200	msa_prob_dist	112.2
seq1	7200	msa_prob_dist	108.3
seq0	7200	msa_prob_dist	-0.4
seq6	7300	msa_prob_dist	155.8
seq5	7300	msa_prob_dist	155.6
seq7	7300	msa_prob_dist	153.6
seq8	7300	msa_prob_dist	150.1
seq2	7300	msa_prob_dist	141.5
seq4	7300	msa_prob_dist	139.8
seq9	7300	msa_prob_dist	129.9
seq1	7300	msa_prob_dist	106.6
seq0	7300	msa_prob_dist	-0.5
seq7	7400	msa_prob_dist	157.8
seq5	7400	msa_prob_dist	155.1
seq6	7400	msa_prob_dist	153.7
seq9	7400	msa_prob_dist	143.1
seq4	7400	msa_prob_dist	140.2
seq8	7400	msa_prob_dist	136.9
seq2	7400	msa_prob_dist	130.8
seq1	7400	msa_prob_dist	94.3
seq0	7400	msa_prob_dist	-0.8
seq7	7500	msa_prob_dist	162.2
seq5	7500	msa_prob_dist	159.8
seq2	7500	msa_prob_dist	148.6
seq6	7500	msa_prob_dist	147.5
seq4	7500	msa_prob_dist	141.2
seq8	7500	msa_prob_dist	139.9
seq9	7500	msa_prob_dist	139.4
seq1	7500	msa_prob_dist	104.5
seq0	7500	msa_prob_dist	-0.8
seq5	7600	msa_prob_dist	163.0
seq7	7600	msa_prob_dist	154.1
seq9	7600	msa_prob_dist	150.0
seq8	7600	msa_prob_dist	149.9
seq6	7600	msa_prob_dist	146.1
seq4	7600	msa_prob_dist	142.7
seq2	7600	msa_prob_dist	141.5
seq1	7600	msa_prob_dist	105.5
seq0	7600	msa_prob_dist	-0.2
seq2	7700	msa_prob_dist	164.4
seq5	7700	msa_prob_dist	158.8
seq4	7700	msa_prob_dist	156.3
seq7	7700	msa_prob_dist	156.0
seq9	7700	msa_prob_dist	151.6
seq8	7700	msa_prob_dist	146.0
seq6	7700	msa_prob_dist	139.7
seq1	7700	msa_prob_dist	100.5
seq0	7700	msa_prob_dist	2.0
seq7	7800	msa_prob_dist	162.8
seq4	7800	msa_prob_dist	155.3
seq5	7800	msa_prob_dist	152.9
seq2	7800	msa_prob_dist	152.8
seq9	7800	msa_prob_dist	152.7
seq8	7800	msa_prob_dist	136.5
seq6	7800	msa_prob_dist	130.1
seq1	7800	msa_prob_dist	76.2
