tool	family	seed_number	RMSE (training)	RMSE (test)	MAE (training)	MAE (test)	R^2 (test)	Pearson (test)
nat	PF00072	4327	0.0119847915636041	0.029439787433848764	0.009556779484502802	0.021134923475085766	0.6642720023461484	0.8381424059208522
nat	PF00072	6972	0.012507883318886566	0.019151642419741346	0.0100504515668373	0.015051143077481602	0.8409712358859704	0.9232047360421948
nat	PF00072	941	0.011434296822824253	0.035337059134670445	0.00926118159027996	0.024060760727846162	0.2819692937080869	0.6629288601821561
nat	PF00072	2014	0.011664759982242775	0.040277335270665696	0.009488352712953174	0.026586448517658092	0.4072861858217707	0.756244507211757
nat	PF00072	8582	0.01216775801775926	0.02285906225779072	0.009749478525158613	0.01732991701359711	0.8053440637964505	0.9139956732018728
nat	PF00076	859	0.01886745768046922	0.03048024722099021	0.014940552795468194	0.021616825103441904	0.6646194833354419	0.8452181809147215
nat	PF00076	7733	0.019479810529488273	0.02398945031965755	0.01553223326330816	0.019540141976213954	0.78676390203381	0.8904562044842284
nat	PF00076	891	0.018018832575451747	0.03779451181273782	0.014250597026333807	0.027648814712886792	0.667629976381403	0.8256951756223709
nat	PF00076	6541	0.018480696498119186	0.0323217740244019	0.014709472778563874	0.02355536678037248	0.75967958017267	0.8954204395659864
nat	PF00076	4386	0.018844879109367798	0.027464152020849023	0.015007781634154914	0.021463025267005588	0.7739486537483858	0.9030488248364146
nat	PF00076	4327	0.01763086485374469	0.0462178155182999	0.013947854018178926	0.02986331843896552	0.46366079816450423	0.7367633832438345
nat	PF00076	6972	0.018733258619870075	0.026830866742004116	0.014846603208701833	0.01969700090730047	0.808200083625378	0.9112518142792854
nat	PF00076	941	0.019006500584528914	0.026471774343926804	0.015043388699467345	0.020831373116091338	0.8224415439655414	0.9106690634562487
nat	PF00076	2014	0.018211666975042215	0.03130566727849231	0.014502601981887157	0.02339335649732294	0.7325364812084134	0.8684087471432387
nat	PF00076	8582	0.01900774043883332	0.02798897606585591	0.015097295248883742	0.020901280958586326	0.8059939016031508	0.9168059109581002
nat	PF00096	859	0.03061986470029501	0.033094251096255196	0.023952712806467383	0.025777946153773913	0.7444000808080957	0.8706141037753579
nat	PF00096	7733	0.030400577586573465	0.033051547904370815	0.02383016607465272	0.025377043245438557	0.7589153853146687	0.874837703899398
nat	PF00096	891	0.02844417106696793	0.04412929172200113	0.022381576285610796	0.030903898418147873	0.5913238990333984	0.8028085991164113
