tool	family	seed_number	RMSE (training)	RMSE (test)	MAE (training)	MAE (test)	R^2 (test)	Pearson (test)
nat	PF00595	859	6.3187328644338615e-12	0.18294325786192064	1.1952462829002896e-12	0.13782780335572664	-0.12943340379364288	0.40876662773356864
nat	PF00595	7733	9.624025847428853e-13	0.1460017663653292	1.8528581446908277e-13	0.11040872096037951	0.28846785962776755	0.5903069550867579
nat	PF00595	891	5.9950655385486724e-12	0.17094183914548905	1.1598539589081318e-12	0.12480130403344962	0.04250670726141903	0.49034493900928633
nat	PF00595	6541	2.882535697226477e-16	0.2102445675209016	2.3592239273284576e-16	0.1594157956990901	-0.4104893712132367	0.03285949853439677
nat	PF00595	4386	6.996810871988995e-14	0.17585474797924225	1.4137500693932127e-14	0.1302128633355655	-0.10631687243041243	0.5639797199470492
nat	PF00595	4327	2.2383407211367074e-16	0.16041467881126054	1.853675942900931e-16	0.1245688920597125	0.1477648893667518	0.5031696452362225
nat	PF00595	6972	1.7533031822778118e-14	0.16556564341173663	5.0212810100345805e-15	0.12166451304503366	0.078865450351285	0.5477640023595993
nat	PF00595	941	6.677014818320574e-16	0.17236991070274152	3.429796129645573e-16	0.12363525585096757	0.026077498312372382	0.46599021401187746
nat	PF00595	2014	2.4104426955016812e-11	0.21924771454145542	4.556218002089401e-12	0.173925116791159	-0.8869500507559	0.5621437639358003
nat	PF00595	8582	1.7921203523483467e-14	0.1557895737181549	4.33879123105742e-15	0.10866687480658271	0.1487083834822316	0.5424863018384438
nat	PF01535	859	0.07554545760411494	0.10252040236581939	0.05916317355607155	0.07821436467795917	0.1360439036714749	0.49189245445144564
nat	PF01535	7733	0.06684334565171329	0.09961968242390115	0.05227559479431428	0.07742013924649802	0.24512095473035167	0.5328850456706744
nat	PF01535	891	0.08061998590015021	0.09626414319112074	0.06383918594978841	0.0746094753294274	0.2366814124198684	0.5558705050955454
nat	PF01535	6541	0.0755615057444097	0.09718813287152651	0.059343700003836125	0.07574141072919233	0.27216689544941575	0.5374713518369612
nat	PF01535	4386	0.07552645102869972	0.09499670407775035	0.05933602964943353	0.0735250262481684	0.2770979353560076	0.5655904699367277
nat	PF01535	4327	0.07930056560859086	0.09683698711500373	0.06245265627223005	0.07485784928957027	0.2414174394619758	0.5535631899756384
nat	PF01535	6972	0.07326440220001532	0.09843761102655396	0.05755399806352269	0.07630509698898306	0.19535531367596715	0.5286664751411434
nat	PF01535	941	0.07453079283571848	0.09701452723204915	0.05865384202379311	0.07487252313657085	0.2293016393498285	0.5348304955304912
nat	PF01535	2014	0.07153547166579792	0.09760584099328609	0.05610155646207846	0.07523743689661017	0.2690138646337711	0.5721213037120916
nat	PF01535	8582	0.06935555439696407	0.09828139077581914	0.05421034443628381	0.07606016984933467	0.2511518444950046	0.5395730822164478
nat	PF07679	859	1.5009697033921037e-15	0.1811382724984408	1.1287267417022424e-15	0.13182879844599027	-1.429002151029004	0.009825312093256893
nat	PF07679	7733	1.9953908924751435e-11	0.13666642732409115	3.3262713571168157e-12	0.1035654722903704	-0.16112844397871617	0.3669945470689903
nat	PF07679	891	4.2405297560248157e-13	0.18794015333492697	7.18514753867478e-14	0.14078499198098204	-1.5983039138882624	0.04338756895234809
nat	PF07679	6541	2.72331721008273e-15	0.13805049300751365	1.3476873937810928e-15	0.11053253181053761	-0.020554885809408008	0.5279778299624898
nat	PF07679	4386	3.1004771131367543e-15	0.1478381847799031	3.029983671372823e-15	0.11667606582231697	-0.23781376794097442	0.36398803123248485
nat	PF07679	4327	7.091415286817657e-16	0.12250341499958674	5.288979131200399e-16	0.09576836564683043	0.128765082524396	0.557855691805746
nat	PF07679	6972	1.4874135168438058e-14	0.10515870925792664	3.8125367060912495e-15	0.08337131970658482	0.3297418466764792	0.6331356053819732
nat	PF07679	941	1.2819417390521396e-15	0.1464416962772112	6.584239326596414e-16	0.10988858089297666	-0.5757991916813614	0.4011787025319215
nat	PF07679	2014	1.767056541147855e-15	0.11523132135409386	1.6822962775917303e-15	0.09119057661847117	0.23224968980564087	0.640950742843385
nat	PF07679	8582	1.1297007033090782e-12	0.12578309202566262	2.3336733779978484e-13	0.09632564919165668	0.059259553324768954	0.5799035603543135
nat	PF13354	859	2.2012424311289035e-15	0.09487235151207364	1.7718630795386724e-15	0.07216390279181963	0.5644739438673865	0.8105859856118166
nat	PF13354	7733	2.8914305518531838e-15	0.12916529937700177	2.7540800328127025e-15	0.08590431527974393	0.1809474681351093	0.6031268361159756
nat	PF13354	891	1.4102409220551902e-15	0.12408386139081558	1.1854274176027415e-15	0.08845950938072034	0.24334522758431398	0.6555575977562248
nat	PF13354	6541	1.949098002563384e-15	0.10585998587085854	1.5841825206139436e-15	0.07700540553163736	0.4917387480771249	0.7275231810986323
nat	PF13354	4386	2.905914782510069e-15	0.13537813348234948	1.0681931529786328e-15	0.0950401037773384	0.06343711225839066	0.5445863270550233
