sequence_name	n_mutations	proposal_type	hmmer_seq_score
seq0	7000	msa_prob_dist	131.6
seq3	7000	msa_prob_dist	130.6
seq1	7000	msa_prob_dist	130.5
seq5	7100	msa_prob_dist	161.6
seq7	7100	msa_prob_dist	147.7
seq3	7100	msa_prob_dist	145.7
seq9	7100	msa_prob_dist	144.9
seq8	7100	msa_prob_dist	142.8
seq2	7100	msa_prob_dist	137.8
seq6	7100	msa_prob_dist	137.2
seq0	7100	msa_prob_dist	135.2
seq1	7100	msa_prob_dist	131.5
seq5	7200	msa_prob_dist	153.9
seq8	7200	msa_prob_dist	153.5
seq9	7200	msa_prob_dist	152.2
seq6	7200	msa_prob_dist	148.0
seq7	7200	msa_prob_dist	147.5
seq3	7200	msa_prob_dist	143.0
seq1	7200	msa_prob_dist	142.6
seq2	7200	msa_prob_dist	141.9
seq0	7200	msa_prob_dist	121.4
seq6	7300	msa_prob_dist	160.0
seq1	7300	msa_prob_dist	156.3
seq7	7300	msa_prob_dist	156.2
seq8	7300	msa_prob_dist	150.9
seq0	7300	msa_prob_dist	143.3
seq3	7300	msa_prob_dist	142.1
seq5	7300	msa_prob_dist	141.9
seq9	7300	msa_prob_dist	140.6
seq2	7300	msa_prob_dist	136.7
seq1	7400	msa_prob_dist	155.6
seq6	7400	msa_prob_dist	150.6
seq0	7400	msa_prob_dist	147.9
seq3	7400	msa_prob_dist	145.5
seq7	7400	msa_prob_dist	145.2
seq8	7400	msa_prob_dist	145.2
seq9	7400	msa_prob_dist	128.7
seq5	7400	msa_prob_dist	127.7
seq2	7400	msa_prob_dist	123.3
seq4	7400	msa_prob_dist	-2.9
seq6	7500	msa_prob_dist	157.8
seq7	7500	msa_prob_dist	149.2
seq8	7500	msa_prob_dist	146.6
seq2	7500	msa_prob_dist	144.7
seq3	7500	msa_prob_dist	141.8
seq9	7500	msa_prob_dist	136.6
seq5	7500	msa_prob_dist	134.6
