tool	family	seed_number	RMSE (training)	RMSE (test)	MAE (training)	MAE (test)	R^2 (test)	Pearson (test)
nat	PF00072	8582	0.040143953859634186	0.09023688600173692	0.03179894572858852	0.07005772621198644	0.45748005178070916	0.7972033196106494
nat	PF00076	859	0.058003092917865415	0.10628706990308875	0.04558237004210014	0.08635601317921436	-0.2589746088944189	0.5819891831391744
nat	PF00076	7733	0.06120689605418817	0.09635552219921922	0.04761257898233937	0.07473804602677864	0.3354835332371664	0.6087110189202944
nat	PF00076	891	0.05891620071201675	0.12075916653064638	0.04684671951969726	0.0889749952751776	0.32111930593573035	0.5979442798590332
nat	PF00076	6541	0.060964486573713284	0.10745724524058921	0.04786830524844925	0.08358961284290206	0.40015120707391627	0.7114723746072915
nat	PF00076	4386	0.05832530005327135	0.12376905272565802	0.045185580298145844	0.09338189097956708	-0.02855891262889587	0.5237956113642552
nat	PF00076	4327	0.05624157908273258	0.13753239241143145	0.04351315462308367	0.1008398425671548	-0.022486914756245202	0.5020503918466046
nat	PF00076	6972	0.05668177231548593	0.10089862314478203	0.043716300539286955	0.07933932151745307	0.4339586767252773	0.7184849856013465
nat	PF00076	941	0.06296750589889946	0.09892740704287546	0.0492254627733738	0.08106652213925762	0.4847048940562858	0.7342848004893108
nat	PF00076	2014	0.05789285841494758	0.09579208564084345	0.04539158329202959	0.07593688050754506	0.47063085209183475	0.7594764728752362
nat	PF00076	8582	0.06218247218313724	0.09848780236240308	0.04825337478794361	0.07754283614406726	0.4135901378049186	0.7097339634454704
nat	PF00096	859	0.08979466249615763	0.11707979329264155	0.07045834552412959	0.09314699032447872	0.35824194359927564	0.6095177243736715
nat	PF00096	7733	0.09614495879757971	0.11403263515962916	0.07616506482652073	0.08769117330681447	0.31205796645976047	0.587939732129364
nat	PF00096	891	0.0897121548177417	0.13340237127811685	0.07016900839900604	0.10115202583728367	0.2570504614625174	0.534823404095123
nat	PF00096	6541	0.09643469923444793	0.10815955458572978	0.07650441563656667	0.08641650062408902	0.18078953554898014	0.5385724668027587
nat	PF00096	4386	0.09114566291748347	0.15274280226169468	0.0718531536913948	0.10888358117910305	-0.18451311844971108	0.29771236886288077
nat	PF00096	4327	0.09255805528592048	0.1347649502986321	0.07301356438225796	0.09762595370858687	-0.2399436658938232	0.3211816979893465
nat	PF00096	6972	0.09825717348442665	0.11004287031905997	0.07727444033006411	0.08591150410069853	0.2974983446080879	0.5958291104617717
nat	PF00096	941	0.09855471171699871	0.0962330746138296	0.07807188030356982	0.07607793506686418	0.49212066174790214	0.703808709747136
nat	PF00096	2014	0.09738349330949483	0.1117381346101269	0.0766362616324013	0.08725593878166245	0.23405536720933107	0.589370536452862
nat	PF00096	8582	0.09458083129718595	0.13947813589632335	0.07423389083092347	0.09881127324721949	0.01188323045123263	0.41399060181353664
nat	PF00153	859	0.07106349397939865	0.08665804988448038	0.05652594493348625	0.06776033171199927	0.4655356701148613	0.6969343344832538
nat	PF00153	7733	0.06803432743975846	0.0915267246935865	0.05411561287836238	0.07353155891563012	0.4894630071058582	0.7110526557758297
nat	PF00153	891	0.06856936631084096	0.11800651851798961	0.05459306753984382	0.08419267229200052	-0.05239333847475991	0.5064991463493302
nat	PF00153	6541	0.07298220987430842	0.0821347397478355	0.05815281090728487	0.06574439984594332	0.4437388336900774	0.7100903415153399
nat	PF00153	4386	0.06640590262944915	0.11232916300289557	0.05312021867904701	0.08787657813376876	0.2579648862165026	0.5893800345278355
nat	PF00153	4327	0.07004009979514778	0.10148426202933351	0.05562198341989395	0.07676227767717467	0.22802445239809188	0.5933194996536277
nat	PF00153	6972	0.07108141097684798	0.08755656809848175	0.05694113109327702	0.0689248521876271	0.5420963829333425	0.749017091886377
nat	PF00153	941	0.07267464270118848	0.08050663301199816	0.057584001037928795	0.06329797531951467	0.5377246983534358	0.7445069926239313
nat	PF00153	2014	0.07039123224996258	0.09187397829633406	0.05611300350087364	0.07296286613835617	0.42516786502671733	0.6725772691475761
nat	PF00153	8582	0.06872335818565684	0.08956509541623119	0.054158666212775215	0.07146406761560295	0.4103894293661122	0.6475296096092678
nat	PF00271	859	0.05760652299560431	0.06851276716273907	0.04508497958149602	0.05116255581916706	0.6116836732562871	0.7935403882113912
nat	PF00271	7733	0.057669390426770606	0.06602603266383318	0.04529450776136613	0.050307019983465845	0.5846063259128191	0.7819498830822207
nat	PF00271	891	0.057924709157431795	0.06147267878629673	0.045129843561291356	0.047875614094066675	0.6762906995538334	0.8261221747502454
nat	PF00271	6541	0.05909803901535934	0.0591157845247171	0.04626780283381553	0.046450475999258396	0.6823041630825004	0.8377228462146711
nat	PF00271	4386	0.05531751067333108	0.06859498093618709	0.04365615073103414	0.05139379357753859	0.6145198586526888	0.78708308770497
nat	PF00271	4327	0.059726489443271455	0.05815309667855785	0.04666139213625146	0.046038730151768174	0.7109331837710791	0.8536165778715565
