tool	family	sim_ind	corrected_fd_corr	uncorrected_fd_corr
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF01535	2	0.15682408581345128	0.1739709870259207
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF01535	3	0.15677292124993317	0.178149894836587
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF01535	5	0.14127110063502737	0.1597426888532972
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF01535	4	0.16354300188616325	0.18617995564461193
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF01535	8	0.11436784863228211	0.13649145145682767
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF01535	6	0.05952327020161348	0.07856587919220963
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF01535	7	0.1501665211768821	0.16944118774873662
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF01535	1	0.11127001722218668	0.12699086812978672
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF01535	10	0.17384639700050153	0.19339658591596806
MSA-1b-logitsprop-dynamic-random-10-init-seq-0	PF01535	9	0.16767173935822438	0.18799107154602748
MSA-1b-logitsprop-dynamic-random-100-init-seq-0	PF01535	2	0.1701135830284223	0.18805641971790846
MSA-1b-logitsprop-dynamic-random-100-init-seq-0	PF01535	3	0.15352343457337364	0.1667754964438436
MSA-1b-logitsprop-dynamic-random-100-init-seq-0	PF01535	5	0.12970289520205897	0.15492190965531408
MSA-1b-logitsprop-dynamic-random-100-init-seq-0	PF01535	4	0.10828224702693665	0.133610371824262
MSA-1b-logitsprop-dynamic-random-100-init-seq-0	PF01535	8	0.06521918304509983	0.08243003608809817
MSA-1b-logitsprop-dynamic-random-100-init-seq-0	PF01535	6	0.11461846357314653	0.1392866079445704
MSA-1b-logitsprop-dynamic-random-100-init-seq-0	PF01535	7	0.06483596226158003	0.07816782807661521
MSA-1b-logitsprop-dynamic-random-100-init-seq-0	PF01535	1	0.13839043332132064	0.1612886973720447
MSA-1b-logitsprop-dynamic-random-100-init-seq-0	PF01535	10	0.16038165343777536	0.1805676330882953
MSA-1b-logitsprop-dynamic-random-100-init-seq-0	PF01535	9	0.17220579840409148	0.20097862194713081
MSA-1b-logitsprop-static-10-init-seq-0	PF13354	2	0.6811138812078061	0.8026870243902201
MSA-1b-logitsprop-static-10-init-seq-0	PF13354	10	0.7480450509842649	0.8428400590784612
MSA-1b-logitsprop-static-10-init-seq-0	PF13354	8	0.6523761856570006	0.7895894137648383
MSA-1b-logitsprop-static-10-init-seq-0	PF13354	4	0.6651148376403048	0.7943928669747269
MSA-1b-logitsprop-static-10-init-seq-0	PF13354	3	0.653995219421091	0.7880929871555442
MSA-1b-logitsprop-static-10-init-seq-0	PF13354	9	0.7086872074425217	0.8205906849294053
MSA-1b-logitsprop-static-10-init-seq-0	PF13354	7	0.6531588405049649	0.7942012331474682
MSA-1b-logitsprop-static-10-init-seq-0	PF13354	5	0.6485204014720098	0.7853874389876749
MSA-1b-logitsprop-static-10-init-seq-0	PF13354	6	0.561467019141803	0.7327459571320638
MSA-1b-logitsprop-static-10-init-seq-0	PF13354	1	0.540125052650081	0.7180923597878097
MSA-1b-logitsprop-static-100-init-seq-0	PF13354	2	0.6439110086321034	0.783724412695675
MSA-1b-logitsprop-static-100-init-seq-0	PF13354	10	0.5909608194995399	0.7524710860326296
MSA-1b-logitsprop-static-100-init-seq-0	PF13354	8	0.5697381237429366	0.7415649892182749
MSA-1b-logitsprop-static-100-init-seq-0	PF13354	4	0.6090454737827979	0.7660964240777384
MSA-1b-logitsprop-static-100-init-seq-0	PF13354	3	0.6851184695318723	0.8030802661272238
MSA-1b-logitsprop-static-100-init-seq-0	PF13354	9	0.6903910016517862	0.8097935597382879
MSA-1b-logitsprop-static-100-init-seq-0	PF13354	7	0.663266122003902	0.7915333225228796
MSA-1b-logitsprop-static-100-init-seq-0	PF13354	5	0.6388874165236471	0.7785423827375935
MSA-1b-logitsprop-static-100-init-seq-0	PF13354	6	0.5760470543739897	0.7375326384558918
